"data_bulletin","week","country","cases","cumulative"
2022-07-01,"2022-21","Greece",2,8
2022-07-01,"2022-22","Greece",0,8
2022-07-01,"2022-23","Greece",2,10
2022-07-01,"2022-24","Greece",0,10
2022-07-01,"2022-25","Greece",0,10
2022-06-17,"2021-39","Ireland",0,0
2022-06-17,"2021-40","Ireland",0,0
2022-06-17,"2021-41","Ireland",0,0
2022-06-17,"2021-42","Ireland",0,0
2022-06-17,"2021-43","Ireland",0,0
2022-06-17,"2021-44","Ireland",0,0
2022-06-17,"2021-45","Ireland",0,0
2022-06-17,"2021-46","Ireland",0,0
2022-06-17,"2021-47","Ireland",0,0
2022-06-17,"2021-48","Ireland",0,0
2022-06-17,"2021-49","Ireland",0,0
2022-06-17,"2021-50","Ireland",0,0
2022-06-17,"2021-51","Ireland",0,0
2022-06-17,"2021-52","Ireland",0,0
2022-06-17,"2022-01","Ireland",0,0
2022-06-17,"2022-02","Ireland",0,0
2022-06-17,"2022-03","Ireland",0,0
2022-06-17,"2022-04","Ireland",0,0
2022-06-17,"2022-05","Ireland",0,0
2022-06-17,"2022-06","Ireland",0,0
2022-06-17,"2022-07","Ireland",0,0
2022-06-17,"2022-08","Ireland",0,0
2022-06-17,"2022-09","Ireland",0,0
2022-06-17,"2022-10","Ireland",3,3
2022-06-17,"2022-11","Ireland",1,4
2022-06-17,"2022-12","Ireland",2,6
2022-06-17,"2022-13","Ireland",1,7
2022-06-17,"2022-14","Ireland",0,7
2022-06-17,"2022-15","Ireland",1,8
2022-06-17,"2022-16","Ireland",1,9
2022-06-17,"2022-17","Ireland",1,10
2022-06-17,"2022-18","Ireland",1,11
2022-06-17,"2022-19","Ireland",2,13
2022-06-17,"2022-20","Ireland",1,14
2022-06-17,"2022-21","Ireland",0,14
2022-06-17,"2022-22","Ireland",0,14
2022-06-17,"2022-23","Ireland",0,14
2022-06-17,"2022-24","Ireland",0,14
2022-07-01,"2021-39","Ireland",0,0
2022-07-01,"2021-40","Ireland",0,0
2022-07-01,"2021-41","Ireland",0,0
2022-07-01,"2021-42","Ireland",0,0
2022-07-01,"2021-43","Ireland",0,0
2022-07-01,"2021-44","Ireland",0,0
2022-07-01,"2021-45","Ireland",0,0
2022-07-01,"2021-46","Ireland",0,0
2022-07-01,"2021-47","Ireland",0,0
2022-07-01,"2021-48","Ireland",0,0
2022-07-01,"2021-49","Ireland",0,0
2022-07-01,"2021-50","Ireland",0,0
2022-07-01,"2021-51","Ireland",0,0
2022-07-01,"2021-52","Ireland",0,0
2022-07-01,"2022-01","Ireland",0,0
2022-07-01,"2022-02","Ireland",0,0
2022-07-01,"2022-03","Ireland",0,0
2022-07-01,"2022-04","Ireland",0,0
2022-07-01,"2022-05","Ireland",0,0
2022-07-01,"2022-06","Ireland",0,0
2022-07-01,"2022-07","Ireland",0,0
2022-07-01,"2022-08","Ireland",0,0
2022-07-01,"2022-09","Ireland",0,0
2022-07-01,"2022-10","Ireland",3,3
2022-07-01,"2022-11","Ireland",1,4
2022-07-01,"2022-12","Ireland",2,6
2022-07-01,"2022-13","Ireland",1,7
2022-07-01,"2022-14","Ireland",0,7
2022-07-01,"2022-15","Ireland",1,8
2022-07-01,"2022-16","Ireland",1,9
2022-07-01,"2022-17","Ireland",1,10
2022-07-01,"2022-18","Ireland",1,11
2022-07-01,"2022-19","Ireland",2,13
2022-07-01,"2022-20","Ireland",2,15
2022-07-01,"2022-21","Ireland",0,15
2022-07-01,"2022-22","Ireland",0,15
2022-07-01,"2022-23","Ireland",1,16
2022-07-01,"2022-24","Ireland",0,16
2022-07-01,"2022-25","Ireland",0,16
2022-06-17,"2021-39","Israel",0,0
2022-06-17,"2021-40","Israel",0,0
2022-06-17,"2021-41","Israel",0,0
2022-06-17,"2021-42","Israel",0,0
2022-06-17,"2021-43","Israel",0,0
2022-06-17,"2021-44","Israel",0,0
2022-06-17,"2021-45","Israel",0,0
2022-06-17,"2021-46","Israel",0,0
2022-06-17,"2021-47","Israel",0,0
2022-06-17,"2021-48","Israel",0,0
2022-06-17,"2021-49","Israel",0,0
2022-06-17,"2021-50","Israel",0,0
2022-06-17,"2021-51","Israel",0,0
2022-06-17,"2021-52","Israel",0,0
2022-06-17,"2022-01","Israel",0,0
2022-06-17,"2022-02","Israel",0,0
2022-06-17,"2022-03","Israel",0,0
2022-06-17,"2022-04","Israel",0,0
2022-06-17,"2022-05","Israel",0,0
2022-06-17,"2022-06","Israel",0,0
2022-06-17,"2022-07","Israel",0,0
2022-06-17,"2022-08","Israel",0,0
